20:41:07 04/07/2015:	java.lang.Exception in METHOD "Remove" CLASS "Controller"
20:41:54 04/07/2015:	java.lang.Exception in METHOD "Remove(id not found)" CLASS "Controller"
20:42:35 04/07/2015:	java.lang.Exception in METHOD "Remove(id 50not found)" CLASS "Controller"
20:42:55 04/07/2015:	java.lang.Exception in METHOD "Remove(id 10not found)" CLASS "Controller"
20:55:34 04/07/2015:	org.postgresql.util.PSQLException: No value specified for parameter 1. in METHOD "StartDefault" CLASS "Controller"
20:55:48 04/07/2015:	org.postgresql.util.PSQLException: No value specified for parameter 1. in METHOD "StartDefault" CLASS "Controller"
20:55:51 04/07/2015:	org.postgresql.util.PSQLException: ResultSet not positioned properly, perhaps you need to call next. in METHOD "StartDefault" CLASS "Controller"
20:57:21 04/07/2015:	org.postgresql.util.PSQLException: No value specified for parameter 1. in METHOD "StartDefault" CLASS "Controller"
20:58:01 04/07/2015:	org.postgresql.util.PSQLException: No value specified for parameter 1. in METHOD "StartDefault" CLASS "Controller"
20:58:30 04/07/2015:	org.postgresql.util.PSQLException: ResultSet not positioned properly, perhaps you need to call next. in METHOD "StartDefault" CLASS "Controller"
21:02:18 04/07/2015:	java.lang.NullPointerException in METHOD "s" CLASS "Controller"
21:11:11 04/07/2015:	org.postgresql.util.PSQLException: ResultSet not positioned properly, perhaps you need to call next. in METHOD "StartDefault" CLASS "Controller"
01:18:33 05/07/2015:	org.postgresql.util.PSQLException: Connection refused. Check that the hostname and port are correct and that the postmaster is accepting TCP/IP connections. in METHOD "StartDefault" CLASS "Controller"
01:18:34 05/07/2015:	org.postgresql.util.PSQLException: Connection refused. Check that the hostname and port are correct and that the postmaster is accepting TCP/IP connections. in METHOD "StartDefault" CLASS "Controller"
01:18:35 05/07/2015:	org.postgresql.util.PSQLException: Connection refused. Check that the hostname and port are correct and that the postmaster is accepting TCP/IP connections. in METHOD "StartDefault" CLASS "Controller"
01:18:36 05/07/2015:	org.postgresql.util.PSQLException: Connection refused. Check that the hostname and port are correct and that the postmaster is accepting TCP/IP connections. in METHOD "StartDefault" CLASS "Controller"
01:18:37 05/07/2015:	org.postgresql.util.PSQLException: Connection refused. Check that the hostname and port are correct and that the postmaster is accepting TCP/IP connections. in METHOD "StartDefault" CLASS "Controller"
01:18:38 05/07/2015:	org.postgresql.util.PSQLException: Connection refused. Check that the hostname and port are correct and that the postmaster is accepting TCP/IP connections. in METHOD "StartDefault" CLASS "Controller"
01:18:40 05/07/2015:	org.postgresql.util.PSQLException: Connection refused. Check that the hostname and port are correct and that the postmaster is accepting TCP/IP connections. in METHOD "StartDefault" CLASS "Controller"
01:18:41 05/07/2015:	org.postgresql.util.PSQLException: Connection refused. Check that the hostname and port are correct and that the postmaster is accepting TCP/IP connections. in METHOD "StartDefault" CLASS "Controller"
01:18:42 05/07/2015:	org.postgresql.util.PSQLException: Connection refused. Check that the hostname and port are correct and that the postmaster is accepting TCP/IP connections. in METHOD "StartDefault" CLASS "Controller"
01:18:43 05/07/2015:	org.postgresql.util.PSQLException: Connection refused. Check that the hostname and port are correct and that the postmaster is accepting TCP/IP connections. in METHOD "StartDefault" CLASS "Controller"
