
20:41:51 04/07/2015:	 Open Database Name "dbarticlebtb"
20:42:28 04/07/2015:	 Open Database Name "dbarticlebtb"
20:43:03 04/07/2015:	 DELETE Record ID 15
20:55:34 04/07/2015:	 Open Database Name "dbarticlebtb"
20:55:48 04/07/2015:	 Open Database Name "dbarticlebtb"
20:57:20 04/07/2015:	 Open Database Name "dbarticlebtb"
20:58:01 04/07/2015:	 Open Database Name "dbarticlebtb"
20:58:34 04/07/2015:	 Open Database Name "dbarticlebtb"
20:59:46 04/07/2015:	 Open Database Name "dbarticlebtb"
21:02:10 04/07/2015:	 Open Database Name "dbarticlebtb"
21:07:36 04/07/2015:	 Open Database Name "dbarticlebtb"
21:09:21 04/07/2015:	 Open Database Name "dbarticlebtb"
21:11:16 04/07/2015:	 Open Database Name "dbarticlebtb"
21:11:27 04/07/2015:	 Open Database Name "dbarticlebtb"
21:12:21 04/07/2015:	 Open Database Name "dbarticlebtb"
21:18:26 04/07/2015:	 Open Database Name "dbarticlebtb"
21:36:01 04/07/2015:	 Open Database Name "dbarticlebtb"
21:36:31 04/07/2015:	 Open Database Name "dbarticlebtb"
21:37:11 04/07/2015:	 Open Database Name "dbarticlebtb"
21:37:56 04/07/2015:	 Open Database Name "dbarticlebtb"
21:38:25 04/07/2015:	 ADDNEW Record ID 23
01:24:49 05/07/2015:	 Open Database Name "dbarticlebtb"
01:25:07 05/07/2015:	 ADDNEW Record ID 1
01:53:25 05/07/2015:	 Open Database Name "dbarticlebtb"
01:55:36 05/07/2015:	 Open Database Name "dbarticlebtb"
01:56:17 05/07/2015:	 Open Database Name "dbarticlebtb"
02:02:24 05/07/2015:	 Open Database Name "dbarticlebtb"
02:03:27 05/07/2015:	 Open Database Name "dbarticlebtb"
02:04:11 05/07/2015:	 Open Database Name "dbarticlebtb"
